Time (CET),Day-ahead Total Load Forecast [MW] - Cyprus (CY),Actual Total Load [MW] - Cyprus (CY)
20.03.2018 02:00 - 20.03.2018 02:30,0,317
20.03.2018 02:30 - 20.03.2018 03:00,0,317
20.03.2018 03:00 - 20.03.2018 03:30,0,320
20.03.2018 03:30 - 20.03.2018 04:00,0,324
20.03.2018 04:00 - 20.03.2018 04:30,0,330
20.03.2018 04:30 - 20.03.2018 05:00,0,338
20.03.2018 05:00 - 20.03.2018 05:30,0,371
20.03.2018 05:30 - 20.03.2018 06:00,0,397
20.03.2018 06:00 - 20.03.2018 06:30,0,427
20.03.2018 06:30 - 20.03.2018 07:00,0,440
20.03.2018 07:00 - 20.03.2018 07:30,0,455
20.03.2018 07:30 - 20.03.2018 08:00,0,457
20.03.2018 08:00 - 20.03.2018 08:30,0,448
20.03.2018 08:30 - 20.03.2018 09:00,0,440
20.03.2018 09:00 - 20.03.2018 09:30,0,444
20.03.2018 09:30 - 20.03.2018 10:00,0,444
20.03.2018 10:00 - 20.03.2018 10:30,0,442
20.03.2018 10:30 - 20.03.2018 11:00,0,440
20.03.2018 11:00 - 20.03.2018 11:30,0,438
20.03.2018 11:30 - 20.03.2018 12:00,0,433
20.03.2018 12:00 - 20.03.2018 12:30,0,428
20.03.2018 12:30 - 20.03.2018 13:00,0,427
20.03.2018 13:00 - 20.03.2018 13:30,0,427
20.03.2018 13:30 - 20.03.2018 14:00,0,429
20.03.2018 14:00 - 20.03.2018 14:30,0,431
20.03.2018 14:30 - 20.03.2018 15:00,0,437
20.03.2018 15:00 - 20.03.2018 15:30,0,442
20.03.2018 15:30 - 20.03.2018 16:00,0,451
20.03.2018 16:00 - 20.03.2018 16:30,0,463
20.03.2018 16:30 - 20.03.2018 17:00,0,486
20.03.2018 17:00 - 20.03.2018 17:30,0,533
20.03.2018 17:30 - 20.03.2018 18:00,0,562
20.03.2018 18:00 - 20.03.2018 18:30,0,561
20.03.2018 18:30 - 20.03.2018 19:00,0,554
20.03.2018 19:00 - 20.03.2018 19:30,0,541
20.03.2018 19:30 - 20.03.2018 20:00,0,525
20.03.2018 20:00 - 20.03.2018 20:30,0,503
20.03.2018 20:30 - 20.03.2018 21:00,0,480
20.03.2018 21:00 - 20.03.2018 21:30,0,453
20.03.2018 21:30 - 20.03.2018 22:00,0,427
20.03.2018 22:00 - 20.03.2018 22:30,0,400
20.03.2018 22:30 - 20.03.2018 23:00,0,380
20.03.2018 23:00 - 20.03.2018 23:30,0,359
20.03.2018 23:30 - 21.03.2018 00:00,0,343
21.03.2018 00:00 - 21.03.2018 00:30,0,332
21.03.2018 00:30 - 21.03.2018 01:00,0,324
21.03.2018 01:00 - 21.03.2018 01:30,0,319
21.03.2018 01:30 - 21.03.2018 02:00,0,316
21.03.2018 02:00 - 21.03.2018 02:30,0,314
21.03.2018 02:30 - 21.03.2018 03:00,0,314
21.03.2018 03:00 - 21.03.2018 03:30,0,319
21.03.2018 03:30 - 21.03.2018 04:00,0,324
21.03.2018 04:00 - 21.03.2018 04:30,0,331
21.03.2018 04:30 - 21.03.2018 05:00,0,341
21.03.2018 05:00 - 21.03.2018 05:30,0,375
21.03.2018 05:30 - 21.03.2018 06:00,0,398
21.03.2018 06:00 - 21.03.2018 06:30,0,417
21.03.2018 06:30 - 21.03.2018 07:00,0,425
21.03.2018 07:00 - 21.03.2018 07:30,0,437
21.03.2018 07:30 - 21.03.2018 08:00,0,438
21.03.2018 08:00 - 21.03.2018 08:30,0,431
21.03.2018 08:30 - 21.03.2018 09:00,0,424
21.03.2018 09:00 - 21.03.2018 09:30,0,428
21.03.2018 09:30 - 21.03.2018 10:00,0,424
21.03.2018 10:00 - 21.03.2018 10:30,0,426
21.03.2018 10:30 - 21.03.2018 11:00,0,427
21.03.2018 11:00 - 21.03.2018 11:30,0,427
21.03.2018 11:30 - 21.03.2018 12:00,0,428
21.03.2018 12:00 - 21.03.2018 12:30,0,421
21.03.2018 12:30 - 21.03.2018 13:00,0,424
21.03.2018 13:00 - 21.03.2018 13:30,0,423
21.03.2018 13:30 - 21.03.2018 14:00,0,422
21.03.2018 14:00 - 21.03.2018 14:30,0,423
21.03.2018 14:30 - 21.03.2018 15:00,0,425
21.03.2018 15:00 - 21.03.2018 15:30,0,431
21.03.2018 15:30 - 21.03.2018 16:00,0,439
21.03.2018 16:00 - 21.03.2018 16:30,0,452
21.03.2018 16:30 - 21.03.2018 17:00,0,475
21.03.2018 17:00 - 21.03.2018 17:30,0,522
21.03.2018 17:30 - 21.03.2018 18:00,0,551
21.03.2018 18:00 - 21.03.2018 18:30,0,553
21.03.2018 18:30 - 21.03.2018 19:00,0,546
21.03.2018 19:00 - 21.03.2018 19:30,0,532
21.03.2018 19:30 - 21.03.2018 20:00,0,519
21.03.2018 20:00 - 21.03.2018 20:30,0,502
21.03.2018 20:30 - 21.03.2018 21:00,0,478
21.03.2018 21:00 - 21.03.2018 21:30,0,450
21.03.2018 21:30 - 21.03.2018 22:00,0,425
21.03.2018 22:00 - 21.03.2018 22:30,0,402
21.03.2018 22:30 - 21.03.2018 23:00,0,382
21.03.2018 23:00 - 21.03.2018 23:30,0,363
21.03.2018 23:30 - 22.03.2018 00:00,0,348
22.03.2018 00:00 - 22.03.2018 00:30,0,336
22.03.2018 00:30 - 22.03.2018 01:00,0,328
22.03.2018 01:00 - 22.03.2018 01:30,0,322
22.03.2018 01:30 - 22.03.2018 02:00,0,319
22.03.2018 02:00 - 22.03.2018 02:30,0,315
22.03.2018 02:30 - 22.03.2018 03:00,0,315
22.03.2018 03:00 - 22.03.2018 03:30,0,317
22.03.2018 03:30 - 22.03.2018 04:00,0,322
22.03.2018 04:00 - 22.03.2018 04:30,0,327
22.03.2018 04:30 - 22.03.2018 05:00,0,337
22.03.2018 05:00 - 22.03.2018 05:30,0,370
22.03.2018 05:30 - 22.03.2018 06:00,0,395
22.03.2018 06:00 - 22.03.2018 06:30,0,423
22.03.2018 06:30 - 22.03.2018 07:00,0,438
22.03.2018 07:00 - 22.03.2018 07:30,0,454
22.03.2018 07:30 - 22.03.2018 08:00,0,455
22.03.2018 08:00 - 22.03.2018 08:30,0,455
22.03.2018 08:30 - 22.03.2018 09:00,0,453
22.03.2018 09:00 - 22.03.2018 09:30,0,451
22.03.2018 09:30 - 22.03.2018 10:00,0,448
22.03.2018 10:00 - 22.03.2018 10:30,0,445
22.03.2018 10:30 - 22.03.2018 11:00,0,444
22.03.2018 11:00 - 22.03.2018 11:30,0,441
22.03.2018 11:30 - 22.03.2018 12:00,0,443
22.03.2018 12:00 - 22.03.2018 12:30,0,439
22.03.2018 12:30 - 22.03.2018 13:00,0,437
22.03.2018 13:00 - 22.03.2018 13:30,0,440
22.03.2018 13:30 - 22.03.2018 14:00,0,439
22.03.2018 14:00 - 22.03.2018 14:30,0,441
22.03.2018 14:30 - 22.03.2018 15:00,0,446
22.03.2018 15:00 - 22.03.2018 15:30,0,449
22.03.2018 15:30 - 22.03.2018 16:00,0,461
22.03.2018 16:00 - 22.03.2018 16:30,0,473
22.03.2018 16:30 - 22.03.2018 17:00,0,494
22.03.2018 17:00 - 22.03.2018 17:30,0,536
22.03.2018 17:30 - 22.03.2018 18:00,0,563
22.03.2018 18:00 - 22.03.2018 18:30,0,564
22.03.2018 18:30 - 22.03.2018 19:00,0,555
22.03.2018 19:00 - 22.03.2018 19:30,0,540
22.03.2018 19:30 - 22.03.2018 20:00,0,523
22.03.2018 20:00 - 22.03.2018 20:30,0,499
22.03.2018 20:30 - 22.03.2018 21:00,0,477
22.03.2018 21:00 - 22.03.2018 21:30,0,451
22.03.2018 21:30 - 22.03.2018 22:00,0,427
22.03.2018 22:00 - 22.03.2018 22:30,0,401
22.03.2018 22:30 - 22.03.2018 23:00,0,381
22.03.2018 23:00 - 22.03.2018 23:30,0,362
22.03.2018 23:30 - 23.03.2018 00:00,0,346
23.03.2018 00:00 - 23.03.2018 00:30,0,332
23.03.2018 00:30 - 23.03.2018 01:00,0,323
23.03.2018 01:00 - 23.03.2018 01:30,0,317
23.03.2018 01:30 - 23.03.2018 02:00,0,314
23.03.2018 02:00 - 23.03.2018 02:30,0,312
23.03.2018 02:30 - 23.03.2018 03:00,0,311
23.03.2018 03:00 - 23.03.2018 03:30,0,314
23.03.2018 03:30 - 23.03.2018 04:00,0,319
23.03.2018 04:00 - 23.03.2018 04:30,0,324
23.03.2018 04:30 - 23.03.2018 05:00,0,335
23.03.2018 05:00 - 23.03.2018 05:30,0,368
23.03.2018 05:30 - 23.03.2018 06:00,0,395
23.03.2018 06:00 - 23.03.2018 06:30,0,422
23.03.2018 06:30 - 23.03.2018 07:00,0,435
23.03.2018 07:00 - 23.03.2018 07:30,0,447
23.03.2018 07:30 - 23.03.2018 08:00,0,449
23.03.2018 08:00 - 23.03.2018 08:30,0,449
23.03.2018 08:30 - 23.03.2018 09:00,0,455
23.03.2018 09:00 - 23.03.2018 09:30,0,450
23.03.2018 09:30 - 23.03.2018 10:00,0,450
23.03.2018 10:00 - 23.03.2018 10:30,0,446
23.03.2018 10:30 - 23.03.2018 11:00,0,447
23.03.2018 11:00 - 23.03.2018 11:30,0,451
23.03.2018 11:30 - 23.03.2018 12:00,0,447
23.03.2018 12:00 - 23.03.2018 12:30,0,447
23.03.2018 12:30 - 23.03.2018 13:00,0,449
23.03.2018 13:00 - 23.03.2018 13:30,0,448
23.03.2018 13:30 - 23.03.2018 14:00,0,450
23.03.2018 14:00 - 23.03.2018 14:30,0,445
23.03.2018 14:30 - 23.03.2018 15:00,0,449
23.03.2018 15:00 - 23.03.2018 15:30,0,452
23.03.2018 15:30 - 23.03.2018 16:00,0,459
23.03.2018 16:00 - 23.03.2018 16:30,0,472
23.03.2018 16:30 - 23.03.2018 17:00,0,489
23.03.2018 17:00 - 23.03.2018 17:30,0,524
23.03.2018 17:30 - 23.03.2018 18:00,0,545
23.03.2018 18:00 - 23.03.2018 18:30,0,540
23.03.2018 18:30 - 23.03.2018 19:00,0,531
23.03.2018 19:00 - 23.03.2018 19:30,0,518
23.03.2018 19:30 - 23.03.2018 20:00,0,504
23.03.2018 20:00 - 23.03.2018 20:30,0,485
23.03.2018 20:30 - 23.03.2018 21:00,0,464
23.03.2018 21:00 - 23.03.2018 21:30,0,440
23.03.2018 21:30 - 23.03.2018 22:00,0,422
23.03.2018 22:00 - 23.03.2018 22:30,0,402
23.03.2018 22:30 - 23.03.2018 23:00,0,383
23.03.2018 23:00 - 23.03.2018 23:30,0,365
23.03.2018 23:30 - 24.03.2018 00:00,0,351
24.03.2018 00:00 - 24.03.2018 00:30,0,339
24.03.2018 00:30 - 24.03.2018 01:00,0,329
24.03.2018 01:00 - 24.03.2018 01:30,0,322
24.03.2018 01:30 - 24.03.2018 02:00,0,318
24.03.2018 02:00 - 24.03.2018 02:30,0,315
24.03.2018 02:30 - 24.03.2018 03:00,0,313
24.03.2018 03:00 - 24.03.2018 03:30,0,315
24.03.2018 03:30 - 24.03.2018 04:00,0,317
24.03.2018 04:00 - 24.03.2018 04:30,0,315
24.03.2018 04:30 - 24.03.2018 05:00,0,314
24.03.2018 05:00 - 24.03.2018 05:30,0,330
24.03.2018 05:30 - 24.03.2018 06:00,0,345
24.03.2018 06:00 - 24.03.2018 06:30,0,369
24.03.2018 06:30 - 24.03.2018 07:00,0,393
24.03.2018 07:00 - 24.03.2018 07:30,0,414
24.03.2018 07:30 - 24.03.2018 08:00,0,424
24.03.2018 08:00 - 24.03.2018 08:30,0,445
24.03.2018 08:30 - 24.03.2018 09:00,0,455
24.03.2018 09:00 - 24.03.2018 09:30,0,459
24.03.2018 09:30 - 24.03.2018 10:00,0,461
24.03.2018 10:00 - 24.03.2018 10:30,0,452
24.03.2018 10:30 - 24.03.2018 11:00,0,446
24.03.2018 11:00 - 24.03.2018 11:30,0,432
24.03.2018 11:30 - 24.03.2018 12:00,0,423
24.03.2018 12:00 - 24.03.2018 12:30,0,407
24.03.2018 12:30 - 24.03.2018 13:00,0,390
24.03.2018 13:00 - 24.03.2018 13:30,0,384
24.03.2018 13:30 - 24.03.2018 14:00,0,382
24.03.2018 14:00 - 24.03.2018 14:30,0,389
24.03.2018 14:30 - 24.03.2018 15:00,0,391
24.03.2018 15:00 - 24.03.2018 15:30,0,386
24.03.2018 15:30 - 24.03.2018 16:00,0,392
24.03.2018 16:00 - 24.03.2018 16:30,0,408
24.03.2018 16:30 - 24.03.2018 17:00,0,432
24.03.2018 17:00 - 24.03.2018 17:30,0,479
24.03.2018 17:30 - 24.03.2018 18:00,0,529
24.03.2018 18:00 - 24.03.2018 18:30,0,537
24.03.2018 18:30 - 24.03.2018 19:00,0,530
24.03.2018 19:00 - 24.03.2018 19:30,0,517
24.03.2018 19:30 - 24.03.2018 20:00,0,499
24.03.2018 20:00 - 24.03.2018 20:30,0,480
24.03.2018 20:30 - 24.03.2018 21:00,0,464
24.03.2018 21:00 - 24.03.2018 21:30,0,445
24.03.2018 21:30 - 24.03.2018 22:00,0,426
24.03.2018 22:00 - 24.03.2018 22:30,0,405
24.03.2018 22:30 - 24.03.2018 23:00,0,388
24.03.2018 23:00 - 24.03.2018 23:30,0,370
24.03.2018 23:30 - 25.03.2018 00:00,0,353
25.03.2018 00:00 - 25.03.2018 00:30,0,339
25.03.2018 00:30 - 25.03.2018 01:00,0,329
25.03.2018 01:00 - 25.03.2018 01:30,0,322
25.03.2018 01:30 - 25.03.2018 02:00,0,320
25.03.2018 03:00 - 25.03.2018 03:30,0,314
25.03.2018 03:30 - 25.03.2018 04:00,0,313
25.03.2018 04:00 - 25.03.2018 04:30,0,312
25.03.2018 04:30 - 25.03.2018 05:00,0,322
25.03.2018 05:00 - 25.03.2018 05:30,0,317
25.03.2018 05:30 - 25.03.2018 06:00,0,318
25.03.2018 06:00 - 25.03.2018 06:30,0,332
25.03.2018 06:30 - 25.03.2018 07:00,0,337
25.03.2018 07:00 - 25.03.2018 07:30,0,341
25.03.2018 07:30 - 25.03.2018 08:00,0,341
25.03.2018 08:00 - 25.03.2018 08:30,0,342
25.03.2018 08:30 - 25.03.2018 09:00,0,344
25.03.2018 09:00 - 25.03.2018 09:30,0,350
25.03.2018 09:30 - 25.03.2018 10:00,0,351
25.03.2018 10:00 - 25.03.2018 10:30,0,355
25.03.2018 10:30 - 25.03.2018 11:00,0,356
25.03.2018 11:00 - 25.03.2018 11:30,0,361
25.03.2018 11:30 - 25.03.2018 12:00,0,366
25.03.2018 12:00 - 25.03.2018 12:30,0,370
25.03.2018 12:30 - 25.03.2018 13:00,0,365
25.03.2018 13:00 - 25.03.2018 13:30,0,354
25.03.2018 13:30 - 25.03.2018 14:00,0,347
25.03.2018 14:00 - 25.03.2018 14:30,0,355
25.03.2018 14:30 - 25.03.2018 15:00,0,364
25.03.2018 15:00 - 25.03.2018 15:30,0,367
25.03.2018 15:30 - 25.03.2018 16:00,0,373
25.03.2018 16:00 - 25.03.2018 16:30,0,383
25.03.2018 16:30 - 25.03.2018 17:00,0,396
25.03.2018 17:00 - 25.03.2018 17:30,0,418
25.03.2018 17:30 - 25.03.2018 18:00,0,440
25.03.2018 18:00 - 25.03.2018 18:30,0,476
25.03.2018 18:30 - 25.03.2018 19:00,0,510
25.03.2018 19:00 - 25.03.2018 19:30,0,513
25.03.2018 19:30 - 25.03.2018 20:00,0,507
25.03.2018 20:00 - 25.03.2018 20:30,0,493
25.03.2018 20:30 - 25.03.2018 21:00,0,474
25.03.2018 21:00 - 25.03.2018 21:30,0,453
25.03.2018 21:30 - 25.03.2018 22:00,0,430
25.03.2018 22:00 - 25.03.2018 22:30,0,405
25.03.2018 22:30 - 25.03.2018 23:00,0,383
25.03.2018 23:00 - 25.03.2018 23:30,0,361
25.03.2018 23:30 - 26.03.2018 00:00,0,343
26.03.2018 00:00 - 26.03.2018 00:30,0,330
26.03.2018 00:30 - 26.03.2018 01:00,0,321
26.03.2018 01:00 - 26.03.2018 01:30,0,314
26.03.2018 01:30 - 26.03.2018 02:00,0,310
26.03.2018 02:00 - 26.03.2018 02:30,0,308
26.03.2018 02:30 - 26.03.2018 03:00,0,307
26.03.2018 03:00 - 26.03.2018 03:30,0,308
26.03.2018 03:30 - 26.03.2018 04:00,0,310
26.03.2018 04:00 - 26.03.2018 04:30,0,322
26.03.2018 04:30 - 26.03.2018 05:00,0,341
26.03.2018 05:00 - 26.03.2018 05:30,0,369
26.03.2018 05:30 - 26.03.2018 06:00,0,398
26.03.2018 06:00 - 26.03.2018 06:30,0,436
26.03.2018 06:30 - 26.03.2018 07:00,0,452
26.03.2018 07:00 - 26.03.2018 07:30,0,464
26.03.2018 07:30 - 26.03.2018 08:00,0,465
26.03.2018 08:00 - 26.03.2018 08:30,0,463
26.03.2018 08:30 - 26.03.2018 09:00,0,461
26.03.2018 09:00 - 26.03.2018 09:30,0,455
26.03.2018 09:30 - 26.03.2018 10:00,0,453
26.03.2018 10:00 - 26.03.2018 10:30,0,447
26.03.2018 10:30 - 26.03.2018 11:00,0,444
26.03.2018 11:00 - 26.03.2018 11:30,0,439
26.03.2018 11:30 - 26.03.2018 12:00,0,440
26.03.2018 12:00 - 26.03.2018 12:30,0,431
26.03.2018 12:30 - 26.03.2018 13:00,0,425
26.03.2018 13:00 - 26.03.2018 13:30,0,423
26.03.2018 13:30 - 26.03.2018 14:00,0,419
26.03.2018 14:00 - 26.03.2018 14:30,0,418
26.03.2018 14:30 - 26.03.2018 15:00,0,418
26.03.2018 15:00 - 26.03.2018 15:30,0,422
26.03.2018 15:30 - 26.03.2018 16:00,0,426
26.03.2018 16:00 - 26.03.2018 16:30,0,436
26.03.2018 16:30 - 26.03.2018 17:00,0,448
26.03.2018 17:00 - 26.03.2018 17:30,0,463
26.03.2018 17:30 - 26.03.2018 18:00,0,483
26.03.2018 18:00 - 26.03.2018 18:30,0,522
26.03.2018 18:30 - 26.03.2018 19:00,0,555
26.03.2018 19:00 - 26.03.2018 19:30,0,551
26.03.2018 19:30 - 26.03.2018 20:00,0,539
26.03.2018 20:00 - 26.03.2018 20:30,0,520
26.03.2018 20:30 - 26.03.2018 21:00,0,495
26.03.2018 21:00 - 26.03.2018 21:30,0,468
26.03.2018 21:30 - 26.03.2018 22:00,0,441
26.03.2018 22:00 - 26.03.2018 22:30,0,410
26.03.2018 22:30 - 26.03.2018 23:00,0,386
26.03.2018 23:00 - 26.03.2018 23:30,0,368
26.03.2018 23:30 - 27.03.2018 00:00,0,351
27.03.2018 00:00 - 27.03.2018 00:30,0,336
27.03.2018 00:30 - 27.03.2018 01:00,0,327
27.03.2018 01:00 - 27.03.2018 01:30,0,320
27.03.2018 01:30 - 27.03.2018 02:00,0,315
27.03.2018 02:00 - 27.03.2018 02:30,0,313
27.03.2018 02:30 - 27.03.2018 03:00,0,310
27.03.2018 03:00 - 27.03.2018 03:30,0,313
27.03.2018 03:30 - 27.03.2018 04:00,0,316
27.03.2018 04:00 - 27.03.2018 04:30,0,329
27.03.2018 04:30 - 27.03.2018 05:00,0,347
27.03.2018 05:00 - 27.03.2018 05:30,0,372
27.03.2018 05:30 - 27.03.2018 06:00,0,404
27.03.2018 06:00 - 27.03.2018 06:30,0,437
27.03.2018 06:30 - 27.03.2018 07:00,0,454
27.03.2018 07:00 - 27.03.2018 07:30,0,467
27.03.2018 07:30 - 27.03.2018 08:00,0,466
27.03.2018 08:00 - 27.03.2018 08:30,0,462
27.03.2018 08:30 - 27.03.2018 09:00,0,462
27.03.2018 09:00 - 27.03.2018 09:30,0,459
27.03.2018 09:30 - 27.03.2018 10:00,0,452
27.03.2018 10:00 - 27.03.2018 10:30,0,448
27.03.2018 10:30 - 27.03.2018 11:00,0,442
27.03.2018 11:00 - 27.03.2018 11:30,0,444
27.03.2018 11:30 - 27.03.2018 12:00,0,439
27.03.2018 12:00 - 27.03.2018 12:30,0,433
27.03.2018 12:30 - 27.03.2018 13:00,0,431
27.03.2018 13:00 - 27.03.2018 13:30,0,429
27.03.2018 13:30 - 27.03.2018 14:00,0,424
27.03.2018 14:00 - 27.03.2018 14:30,0,421
27.03.2018 14:30 - 27.03.2018 15:00,0,424
27.03.2018 15:00 - 27.03.2018 15:30,0,426
27.03.2018 15:30 - 27.03.2018 16:00,0,433
27.03.2018 16:00 - 27.03.2018 16:30,0,440
27.03.2018 16:30 - 27.03.2018 17:00,0,451
27.03.2018 17:00 - 27.03.2018 17:30,0,464
27.03.2018 17:30 - 27.03.2018 18:00,0,480
27.03.2018 18:00 - 27.03.2018 18:30,0,517
27.03.2018 18:30 - 27.03.2018 19:00,0,549
27.03.2018 19:00 - 27.03.2018 19:30,0,542
27.03.2018 19:30 - 27.03.2018 20:00,0,531
27.03.2018 20:00 - 27.03.2018 20:30,0,510
27.03.2018 20:30 - 27.03.2018 21:00,0,486
27.03.2018 21:00 - 27.03.2018 21:30,0,462
27.03.2018 21:30 - 27.03.2018 22:00,0,436
27.03.2018 22:00 - 27.03.2018 22:30,0,409
27.03.2018 22:30 - 27.03.2018 23:00,0,386
27.03.2018 23:00 - 27.03.2018 23:30,0,365
27.03.2018 23:30 - 28.03.2018 00:00,0,350
28.03.2018 00:00 - 28.03.2018 00:30,0,336
28.03.2018 00:30 - 28.03.2018 01:00,0,320
28.03.2018 01:00 - 28.03.2018 01:30,0,315
28.03.2018 01:30 - 28.03.2018 02:00,0,312
28.03.2018 02:00 - 28.03.2018 02:30,0,314
28.03.2018 02:30 - 28.03.2018 03:00,0,314
28.03.2018 03:00 - 28.03.2018 03:30,0,316
28.03.2018 03:30 - 28.03.2018 04:00,0,320
28.03.2018 04:00 - 28.03.2018 04:30,0,331
28.03.2018 04:30 - 28.03.2018 05:00,0,350
28.03.2018 05:00 - 28.03.2018 05:30,0,370
28.03.2018 05:30 - 28.03.2018 06:00,0,401
28.03.2018 06:00 - 28.03.2018 06:30,0,431
28.03.2018 06:30 - 28.03.2018 07:00,0,451
28.03.2018 07:00 - 28.03.2018 07:30,0,469
28.03.2018 07:30 - 28.03.2018 08:00,0,473
28.03.2018 08:00 - 28.03.2018 08:30,0,479
28.03.2018 08:30 - 28.03.2018 09:00,0,478
28.03.2018 09:00 - 28.03.2018 09:30,0,477
28.03.2018 09:30 - 28.03.2018 10:00,0,480
28.03.2018 10:00 - 28.03.2018 10:30,0,485
28.03.2018 10:30 - 28.03.2018 11:00,0,492
28.03.2018 11:00 - 28.03.2018 11:30,0,486
28.03.2018 11:30 - 28.03.2018 12:00,0,490
28.03.2018 12:00 - 28.03.2018 12:30,0,493
28.03.2018 12:30 - 28.03.2018 13:00,0,484
28.03.2018 13:00 - 28.03.2018 13:30,0,491
28.03.2018 13:30 - 28.03.2018 14:00,0,497
28.03.2018 14:00 - 28.03.2018 14:30,0,495
28.03.2018 14:30 - 28.03.2018 15:00,0,498
28.03.2018 15:00 - 28.03.2018 15:30,0,502
28.03.2018 15:30 - 28.03.2018 16:00,0,501
28.03.2018 16:00 - 28.03.2018 16:30,0,506
28.03.2018 16:30 - 28.03.2018 17:00,0,519
28.03.2018 17:00 - 28.03.2018 17:30,0,535
28.03.2018 17:30 - 28.03.2018 18:00,0,549
28.03.2018 18:00 - 28.03.2018 18:30,0,570
28.03.2018 18:30 - 28.03.2018 19:00,0,589
28.03.2018 19:00 - 28.03.2018 19:30,0,578
28.03.2018 19:30 - 28.03.2018 20:00,0,560
28.03.2018 20:00 - 28.03.2018 20:30,0,534
28.03.2018 20:30 - 28.03.2018 21:00,0,503
28.03.2018 21:00 - 28.03.2018 21:30,0,473
28.03.2018 21:30 - 28.03.2018 22:00,0,446
28.03.2018 22:00 - 28.03.2018 22:30,0,419
28.03.2018 22:30 - 28.03.2018 23:00,0,393
28.03.2018 23:00 - 28.03.2018 23:30,0,370
28.03.2018 23:30 - 29.03.2018 00:00,0,352
29.03.2018 00:00 - 29.03.2018 00:30,0,338
29.03.2018 00:30 - 29.03.2018 01:00,0,330
29.03.2018 01:00 - 29.03.2018 01:30,0,323
29.03.2018 01:30 - 29.03.2018 02:00,0,320
29.03.2018 02:00 - 29.03.2018 02:30,0,317
29.03.2018 02:30 - 29.03.2018 03:00,0,313
29.03.2018 03:00 - 29.03.2018 03:30,0,316
29.03.2018 03:30 - 29.03.2018 04:00,0,321
29.03.2018 04:00 - 29.03.2018 04:30,0,331
29.03.2018 04:30 - 29.03.2018 05:00,0,352
29.03.2018 05:00 - 29.03.2018 05:30,0,377
29.03.2018 05:30 - 29.03.2018 06:00,0,410
29.03.2018 06:00 - 29.03.2018 06:30,0,442
29.03.2018 06:30 - 29.03.2018 07:00,0,454
29.03.2018 07:00 - 29.03.2018 07:30,0,470
29.03.2018 07:30 - 29.03.2018 08:00,0,471
29.03.2018 08:00 - 29.03.2018 08:30,0,466
29.03.2018 08:30 - 29.03.2018 09:00,0,465
29.03.2018 09:00 - 29.03.2018 09:30,0,464
29.03.2018 09:30 - 29.03.2018 10:00,0,473
29.03.2018 10:00 - 29.03.2018 10:30,0,476
29.03.2018 10:30 - 29.03.2018 11:00,0,472
29.03.2018 11:00 - 29.03.2018 11:30,0,471
29.03.2018 11:30 - 29.03.2018 12:00,0,471
29.03.2018 12:00 - 29.03.2018 12:30,0,457
29.03.2018 12:30 - 29.03.2018 13:00,0,453
29.03.2018 13:00 - 29.03.2018 13:30,0,455
29.03.2018 13:30 - 29.03.2018 14:00,0,451
29.03.2018 14:00 - 29.03.2018 14:30,0,444
29.03.2018 14:30 - 29.03.2018 15:00,0,443
29.03.2018 15:00 - 29.03.2018 15:30,0,447
29.03.2018 15:30 - 29.03.2018 16:00,0,459
29.03.2018 16:00 - 29.03.2018 16:30,0,479
29.03.2018 16:30 - 29.03.2018 17:00,0,494
29.03.2018 17:00 - 29.03.2018 17:30,0,513
29.03.2018 17:30 - 29.03.2018 18:00,0,532
29.03.2018 18:00 - 29.03.2018 18:30,0,566
29.03.2018 18:30 - 29.03.2018 19:00,0,596
29.03.2018 19:00 - 29.03.2018 19:30,0,588
29.03.2018 19:30 - 29.03.2018 20:00,0,571
29.03.2018 20:00 - 29.03.2018 20:30,0,545
29.03.2018 20:30 - 29.03.2018 21:00,0,513
29.03.2018 21:00 - 29.03.2018 21:30,0,487
29.03.2018 21:30 - 29.03.2018 22:00,0,457
29.03.2018 22:00 - 29.03.2018 22:30,0,427
29.03.2018 22:30 - 29.03.2018 23:00,0,401
29.03.2018 23:00 - 29.03.2018 23:30,0,375
29.03.2018 23:30 - 30.03.2018 00:00,0,362
30.03.2018 00:00 - 30.03.2018 00:30,0,348
30.03.2018 00:30 - 30.03.2018 01:00,0,336
30.03.2018 01:00 - 30.03.2018 01:30,0,329
30.03.2018 01:30 - 30.03.2018 02:00,0,323
30.03.2018 02:00 - 30.03.2018 02:30,0,321
30.03.2018 02:30 - 30.03.2018 03:00,0,320
30.03.2018 03:00 - 30.03.2018 03:30,0,321
30.03.2018 03:30 - 30.03.2018 04:00,0,325
30.03.2018 04:00 - 30.03.2018 04:30,0,337
30.03.2018 04:30 - 30.03.2018 05:00,0,357
30.03.2018 05:00 - 30.03.2018 05:30,0,382
30.03.2018 05:30 - 30.03.2018 06:00,0,411
30.03.2018 06:00 - 30.03.2018 06:30,0,444
30.03.2018 06:30 - 30.03.2018 07:00,0,455
30.03.2018 07:00 - 30.03.2018 07:30,0,472
30.03.2018 07:30 - 30.03.2018 08:00,0,472
30.03.2018 08:00 - 30.03.2018 08:30,0,474
30.03.2018 08:30 - 30.03.2018 09:00,0,477
30.03.2018 09:00 - 30.03.2018 09:30,0,477
30.03.2018 09:30 - 30.03.2018 10:00,0,474
30.03.2018 10:00 - 30.03.2018 10:30,0,467
30.03.2018 10:30 - 30.03.2018 11:00,0,465
30.03.2018 11:00 - 30.03.2018 11:30,0,458
30.03.2018 11:30 - 30.03.2018 12:00,0,444
