Time (WET),Belarus (BY) > Lithuania (LT) [MW],Lithuania (LT) > Belarus (BY) [MW]
17.03.2018 05:00 - 17.03.2018 06:00,49,0
17.03.2018 06:00 - 17.03.2018 07:00,13,0
17.03.2018 07:00 - 17.03.2018 08:00,0,19
17.03.2018 08:00 - 17.03.2018 09:00,0,1
17.03.2018 09:00 - 17.03.2018 10:00,47,0
17.03.2018 10:00 - 17.03.2018 11:00,93,0
17.03.2018 11:00 - 17.03.2018 12:00,88,0
17.03.2018 12:00 - 17.03.2018 13:00,84,0
17.03.2018 13:00 - 17.03.2018 14:00,49,0
17.03.2018 14:00 - 17.03.2018 15:00,32,0
17.03.2018 15:00 - 17.03.2018 16:00,53,0
17.03.2018 16:00 - 17.03.2018 17:00,0,78
17.03.2018 17:00 - 17.03.2018 18:00,39,0
17.03.2018 18:00 - 17.03.2018 19:00,264,0
17.03.2018 19:00 - 17.03.2018 20:00,316,0
17.03.2018 20:00 - 17.03.2018 21:00,446,0
17.03.2018 21:00 - 17.03.2018 22:00,507,0
17.03.2018 22:00 - 17.03.2018 23:00,423,0
17.03.2018 23:00 - 18.03.2018 00:00,310,0
18.03.2018 00:00 - 18.03.2018 01:00,301,0
18.03.2018 01:00 - 18.03.2018 02:00,283,0
18.03.2018 02:00 - 18.03.2018 03:00,274,0
18.03.2018 03:00 - 18.03.2018 04:00,252,0
18.03.2018 04:00 - 18.03.2018 05:00,123,0
18.03.2018 05:00 - 18.03.2018 06:00,89,0
18.03.2018 06:00 - 18.03.2018 07:00,81,0
18.03.2018 07:00 - 18.03.2018 08:00,108,0
18.03.2018 08:00 - 18.03.2018 09:00,78,0
18.03.2018 09:00 - 18.03.2018 10:00,107,0
18.03.2018 10:00 - 18.03.2018 11:00,139,0
18.03.2018 11:00 - 18.03.2018 12:00,165,0
18.03.2018 12:00 - 18.03.2018 13:00,139,0
18.03.2018 13:00 - 18.03.2018 14:00,117,0
18.03.2018 14:00 - 18.03.2018 15:00,110,0
18.03.2018 15:00 - 18.03.2018 16:00,84,0
18.03.2018 16:00 - 18.03.2018 17:00,82,0
18.03.2018 17:00 - 18.03.2018 18:00,163,0
18.03.2018 18:00 - 18.03.2018 19:00,148,0
18.03.2018 19:00 - 18.03.2018 20:00,179,0
18.03.2018 20:00 - 18.03.2018 21:00,369,0
18.03.2018 21:00 - 18.03.2018 22:00,580,0
18.03.2018 22:00 - 18.03.2018 23:00,554,0
18.03.2018 23:00 - 19.03.2018 00:00,557,0
19.03.2018 00:00 - 19.03.2018 01:00,448,0
19.03.2018 01:00 - 19.03.2018 02:00,466,0
19.03.2018 02:00 - 19.03.2018 03:00,114,0
19.03.2018 03:00 - 19.03.2018 04:00,0,115
19.03.2018 04:00 - 19.03.2018 05:00,0,198
19.03.2018 05:00 - 19.03.2018 06:00,0,64
19.03.2018 06:00 - 19.03.2018 07:00,0,52
19.03.2018 07:00 - 19.03.2018 08:00,0,18
19.03.2018 08:00 - 19.03.2018 09:00,125,0
19.03.2018 09:00 - 19.03.2018 10:00,134,0
19.03.2018 10:00 - 19.03.2018 11:00,0,23
19.03.2018 11:00 - 19.03.2018 12:00,0,15
19.03.2018 12:00 - 19.03.2018 13:00,10,0
19.03.2018 13:00 - 19.03.2018 14:00,108,0
19.03.2018 14:00 - 19.03.2018 15:00,121,0
19.03.2018 15:00 - 19.03.2018 16:00,63,0
19.03.2018 16:00 - 19.03.2018 17:00,50,0
19.03.2018 17:00 - 19.03.2018 18:00,123,0
19.03.2018 18:00 - 19.03.2018 19:00,242,0
19.03.2018 19:00 - 19.03.2018 20:00,376,0
19.03.2018 20:00 - 19.03.2018 21:00,550,0
19.03.2018 21:00 - 19.03.2018 22:00,557,0
19.03.2018 22:00 - 19.03.2018 23:00,590,0
19.03.2018 23:00 - 20.03.2018 00:00,174,0
20.03.2018 00:00 - 20.03.2018 01:00,111,0
20.03.2018 01:00 - 20.03.2018 02:00,136,0
20.03.2018 02:00 - 20.03.2018 03:00,213,0
20.03.2018 03:00 - 20.03.2018 04:00,0,15
20.03.2018 04:00 - 20.03.2018 05:00,0,186
20.03.2018 05:00 - 20.03.2018 06:00,0,133
20.03.2018 06:00 - 20.03.2018 07:00,5,0
20.03.2018 07:00 - 20.03.2018 08:00,158,0
20.03.2018 08:00 - 20.03.2018 09:00,147,0
20.03.2018 09:00 - 20.03.2018 10:00,154,0
20.03.2018 10:00 - 20.03.2018 11:00,135,0
20.03.2018 11:00 - 20.03.2018 12:00,159,0
20.03.2018 12:00 - 20.03.2018 13:00,169,0
20.03.2018 13:00 - 20.03.2018 14:00,134,0
20.03.2018 14:00 - 20.03.2018 15:00,94,0
20.03.2018 15:00 - 20.03.2018 16:00,32,0
20.03.2018 16:00 - 20.03.2018 17:00,0,33
20.03.2018 17:00 - 20.03.2018 18:00,109,0
20.03.2018 18:00 - 20.03.2018 19:00,170,0
20.03.2018 19:00 - 20.03.2018 20:00,301,0
20.03.2018 20:00 - 20.03.2018 21:00,456,0
20.03.2018 21:00 - 20.03.2018 22:00,657,0
20.03.2018 22:00 - 20.03.2018 23:00,511,0
20.03.2018 23:00 - 21.03.2018 00:00,94,0
21.03.2018 00:00 - 21.03.2018 01:00,4,0
21.03.2018 01:00 - 21.03.2018 02:00,31,0
21.03.2018 02:00 - 21.03.2018 03:00,52,0
21.03.2018 03:00 - 21.03.2018 04:00,0,16
21.03.2018 04:00 - 21.03.2018 05:00,0,73
21.03.2018 05:00 - 21.03.2018 06:00,20,0
21.03.2018 06:00 - 21.03.2018 07:00,107,0
21.03.2018 07:00 - 21.03.2018 08:00,163,0
21.03.2018 08:00 - 21.03.2018 09:00,208,0
21.03.2018 09:00 - 21.03.2018 10:00,243,0
21.03.2018 10:00 - 21.03.2018 11:00,169,0
21.03.2018 11:00 - 21.03.2018 12:00,189,0
21.03.2018 12:00 - 21.03.2018 13:00,155,0
21.03.2018 13:00 - 21.03.2018 14:00,172,0
21.03.2018 14:00 - 21.03.2018 15:00,141,0
21.03.2018 15:00 - 21.03.2018 16:00,158,0
21.03.2018 16:00 - 21.03.2018 17:00,155,0
21.03.2018 17:00 - 21.03.2018 18:00,228,0
21.03.2018 18:00 - 21.03.2018 19:00,253,0
21.03.2018 19:00 - 21.03.2018 20:00,457,0
21.03.2018 20:00 - 21.03.2018 21:00,437,0
21.03.2018 21:00 - 21.03.2018 22:00,751,0
21.03.2018 22:00 - 21.03.2018 23:00,625,0
21.03.2018 23:00 - 22.03.2018 00:00,271,0
22.03.2018 00:00 - 22.03.2018 01:00,233,0
22.03.2018 01:00 - 22.03.2018 02:00,220,0
22.03.2018 02:00 - 22.03.2018 03:00,135,0
22.03.2018 03:00 - 22.03.2018 04:00,0,43
22.03.2018 04:00 - 22.03.2018 05:00,0,127
22.03.2018 05:00 - 22.03.2018 06:00,0,35
22.03.2018 06:00 - 22.03.2018 07:00,127,0
22.03.2018 07:00 - 22.03.2018 08:00,234,0
22.03.2018 08:00 - 22.03.2018 09:00,217,0
22.03.2018 09:00 - 22.03.2018 10:00,239,0
22.03.2018 10:00 - 22.03.2018 11:00,192,0
22.03.2018 11:00 - 22.03.2018 12:00,205,0
22.03.2018 12:00 - 22.03.2018 13:00,162,0
22.03.2018 13:00 - 22.03.2018 14:00,180,0
22.03.2018 14:00 - 22.03.2018 15:00,193,0
22.03.2018 15:00 - 22.03.2018 16:00,237,0
22.03.2018 16:00 - 22.03.2018 17:00,268,0
22.03.2018 17:00 - 22.03.2018 18:00,278,0
22.03.2018 18:00 - 22.03.2018 19:00,456,0
22.03.2018 19:00 - 22.03.2018 20:00,512,0
22.03.2018 20:00 - 22.03.2018 21:00,531,0
22.03.2018 21:00 - 22.03.2018 22:00,664,0
22.03.2018 22:00 - 22.03.2018 23:00,615,0
22.03.2018 23:00 - 23.03.2018 00:00,285,0
23.03.2018 00:00 - 23.03.2018 01:00,307,0
23.03.2018 01:00 - 23.03.2018 02:00,293,0
23.03.2018 02:00 - 23.03.2018 03:00,270,0
23.03.2018 03:00 - 23.03.2018 04:00,37,0
23.03.2018 04:00 - 23.03.2018 05:00,47,0
23.03.2018 05:00 - 23.03.2018 06:00,138,0
23.03.2018 06:00 - 23.03.2018 07:00,126,0
23.03.2018 07:00 - 23.03.2018 08:00,233,0
23.03.2018 08:00 - 23.03.2018 09:00,265,0
23.03.2018 09:00 - 23.03.2018 10:00,257,0
23.03.2018 10:00 - 23.03.2018 11:00,294,0
23.03.2018 11:00 - 23.03.2018 12:00,360,0
23.03.2018 12:00 - 23.03.2018 13:00,361,0
23.03.2018 13:00 - 23.03.2018 14:00,340,0
23.03.2018 14:00 - 23.03.2018 15:00,309,0
23.03.2018 15:00 - 23.03.2018 16:00,261,0
23.03.2018 16:00 - 23.03.2018 17:00,242,0
23.03.2018 17:00 - 23.03.2018 18:00,247,0
23.03.2018 18:00 - 23.03.2018 19:00,301,0
23.03.2018 19:00 - 23.03.2018 20:00,449,0
23.03.2018 20:00 - 23.03.2018 21:00,605,0
23.03.2018 21:00 - 23.03.2018 22:00,740,0
23.03.2018 22:00 - 23.03.2018 23:00,719,0
23.03.2018 23:00 - 24.03.2018 00:00,500,0
24.03.2018 00:00 - 24.03.2018 01:00,539,0
24.03.2018 01:00 - 24.03.2018 02:00,481,0
24.03.2018 02:00 - 24.03.2018 03:00,380,0
24.03.2018 03:00 - 24.03.2018 04:00,443,0
24.03.2018 04:00 - 24.03.2018 05:00,393,0
24.03.2018 05:00 - 24.03.2018 06:00,318,0
24.03.2018 06:00 - 24.03.2018 07:00,300,0
24.03.2018 07:00 - 24.03.2018 08:00,385,0
24.03.2018 08:00 - 24.03.2018 09:00,437,0
24.03.2018 09:00 - 24.03.2018 10:00,452,0
24.03.2018 10:00 - 24.03.2018 11:00,466,0
24.03.2018 11:00 - 24.03.2018 12:00,478,0
24.03.2018 12:00 - 24.03.2018 13:00,524,0
24.03.2018 13:00 - 24.03.2018 14:00,571,0
24.03.2018 14:00 - 24.03.2018 15:00,532,0
24.03.2018 15:00 - 24.03.2018 16:00,462,0
24.03.2018 16:00 - 24.03.2018 17:00,405,0
24.03.2018 17:00 - 24.03.2018 18:00,392,0
24.03.2018 18:00 - 24.03.2018 19:00,463,0
24.03.2018 19:00 - 24.03.2018 20:00,581,0
24.03.2018 20:00 - 24.03.2018 21:00,614,0
24.03.2018 21:00 - 24.03.2018 22:00,592,0
24.03.2018 22:00 - 24.03.2018 23:00,411,0
24.03.2018 23:00 - 25.03.2018 00:00,384,0
25.03.2018 00:00 - 25.03.2018 01:00,270,0
25.03.2018 01:00 - 25.03.2018 02:00,,
25.03.2018 02:00 - 25.03.2018 03:00,285,0
25.03.2018 03:00 - 25.03.2018 04:00,307,0
25.03.2018 04:00 - 25.03.2018 05:00,184,0
25.03.2018 05:00 - 25.03.2018 06:00,216,0
25.03.2018 06:00 - 25.03.2018 07:00,219,0
25.03.2018 07:00 - 25.03.2018 08:00,199,0
25.03.2018 08:00 - 25.03.2018 09:00,197,0
25.03.2018 09:00 - 25.03.2018 10:00,329,0
25.03.2018 10:00 - 25.03.2018 11:00,356,0
25.03.2018 11:00 - 25.03.2018 12:00,383,0
25.03.2018 12:00 - 25.03.2018 13:00,384,0
25.03.2018 13:00 - 25.03.2018 14:00,403,0
25.03.2018 14:00 - 25.03.2018 15:00,358,0
25.03.2018 15:00 - 25.03.2018 16:00,335,0
25.03.2018 16:00 - 25.03.2018 17:00,312,0
25.03.2018 17:00 - 25.03.2018 18:00,260,0
25.03.2018 18:00 - 25.03.2018 19:00,357,0
25.03.2018 19:00 - 25.03.2018 20:00,425,0
25.03.2018 20:00 - 25.03.2018 21:00,420,0
25.03.2018 21:00 - 25.03.2018 22:00,457,0
25.03.2018 22:00 - 25.03.2018 23:00,496,0
25.03.2018 23:00 - 26.03.2018 00:00,389,0
26.03.2018 00:00 - 26.03.2018 01:00,427,0
26.03.2018 01:00 - 26.03.2018 02:00,424,0
26.03.2018 02:00 - 26.03.2018 03:00,444,0
26.03.2018 03:00 - 26.03.2018 04:00,180,0
26.03.2018 04:00 - 26.03.2018 05:00,19,0
26.03.2018 05:00 - 26.03.2018 06:00,0,23
26.03.2018 06:00 - 26.03.2018 07:00,61,0
26.03.2018 07:00 - 26.03.2018 08:00,32,0
26.03.2018 08:00 - 26.03.2018 09:00,77,0
26.03.2018 09:00 - 26.03.2018 10:00,66,0
26.03.2018 10:00 - 26.03.2018 11:00,61,0
26.03.2018 11:00 - 26.03.2018 12:00,147,0
26.03.2018 12:00 - 26.03.2018 13:00,181,0
26.03.2018 13:00 - 26.03.2018 14:00,284,0
26.03.2018 14:00 - 26.03.2018 15:00,250,0
26.03.2018 15:00 - 26.03.2018 16:00,168,0
26.03.2018 16:00 - 26.03.2018 17:00,84,0
26.03.2018 17:00 - 26.03.2018 18:00,53,0
26.03.2018 18:00 - 26.03.2018 19:00,117,0
26.03.2018 19:00 - 26.03.2018 20:00,207,0
26.03.2018 20:00 - 26.03.2018 21:00,283,0
26.03.2018 21:00 - 26.03.2018 22:00,373,0
26.03.2018 22:00 - 26.03.2018 23:00,417,0
26.03.2018 23:00 - 27.03.2018 00:00,185,0
27.03.2018 00:00 - 27.03.2018 01:00,134,0
27.03.2018 01:00 - 27.03.2018 02:00,177,0
27.03.2018 02:00 - 27.03.2018 03:00,163,0
27.03.2018 03:00 - 27.03.2018 04:00,157,0
27.03.2018 04:00 - 27.03.2018 05:00,0,14
27.03.2018 05:00 - 27.03.2018 06:00,17,0
27.03.2018 06:00 - 27.03.2018 07:00,41,0
27.03.2018 07:00 - 27.03.2018 08:00,0,73
27.03.2018 08:00 - 27.03.2018 09:00,0,0
27.03.2018 09:00 - 27.03.2018 10:00,6,0
27.03.2018 10:00 - 27.03.2018 11:00,94,0
27.03.2018 11:00 - 27.03.2018 12:00,134,0
27.03.2018 12:00 - 27.03.2018 13:00,127,0
27.03.2018 13:00 - 27.03.2018 14:00,121,0
27.03.2018 14:00 - 27.03.2018 15:00,92,0
27.03.2018 15:00 - 27.03.2018 16:00,88,0
27.03.2018 16:00 - 27.03.2018 17:00,1,0
27.03.2018 17:00 - 27.03.2018 18:00,22,0
27.03.2018 18:00 - 27.03.2018 19:00,36,0
27.03.2018 19:00 - 27.03.2018 20:00,136,0
27.03.2018 20:00 - 27.03.2018 21:00,191,0
27.03.2018 21:00 - 27.03.2018 22:00,186,0
27.03.2018 22:00 - 27.03.2018 23:00,387,0
27.03.2018 23:00 - 28.03.2018 00:00,205,0
28.03.2018 00:00 - 28.03.2018 01:00,216,0
28.03.2018 01:00 - 28.03.2018 02:00,192,0
28.03.2018 02:00 - 28.03.2018 03:00,191,0
28.03.2018 03:00 - 28.03.2018 04:00,188,0
28.03.2018 04:00 - 28.03.2018 05:00,0,6
28.03.2018 05:00 - 28.03.2018 06:00,0,171
28.03.2018 06:00 - 28.03.2018 07:00,0,87
28.03.2018 07:00 - 28.03.2018 08:00,0,49
28.03.2018 08:00 - 28.03.2018 09:00,36,0
28.03.2018 09:00 - 28.03.2018 10:00,94,0
28.03.2018 10:00 - 28.03.2018 11:00,130,0
28.03.2018 11:00 - 28.03.2018 12:00,152,0
28.03.2018 12:00 - 28.03.2018 13:00,161,0
28.03.2018 13:00 - 28.03.2018 14:00,165,0
28.03.2018 14:00 - 28.03.2018 15:00,180,0
28.03.2018 15:00 - 28.03.2018 16:00,138,0
28.03.2018 16:00 - 28.03.2018 17:00,126,0
28.03.2018 17:00 - 28.03.2018 18:00,29,0
28.03.2018 18:00 - 28.03.2018 19:00,11,0
28.03.2018 19:00 - 28.03.2018 20:00,101,0
28.03.2018 20:00 - 28.03.2018 21:00,181,0
28.03.2018 21:00 - 28.03.2018 22:00,114,0
28.03.2018 22:00 - 28.03.2018 23:00,375,0
28.03.2018 23:00 - 29.03.2018 00:00,67,0
29.03.2018 00:00 - 29.03.2018 01:00,86,0
29.03.2018 01:00 - 29.03.2018 02:00,59,0
29.03.2018 02:00 - 29.03.2018 03:00,76,0
29.03.2018 03:00 - 29.03.2018 04:00,29,0
29.03.2018 04:00 - 29.03.2018 05:00,0,163
29.03.2018 05:00 - 29.03.2018 06:00,0,323
29.03.2018 06:00 - 29.03.2018 07:00,0,113
29.03.2018 07:00 - 29.03.2018 08:00,0,9
29.03.2018 08:00 - 29.03.2018 09:00,0,63
29.03.2018 09:00 - 29.03.2018 10:00,0,71
29.03.2018 10:00 - 29.03.2018 11:00,0,128
29.03.2018 11:00 - 29.03.2018 12:00,0,84
29.03.2018 12:00 - 29.03.2018 13:00,0,78
29.03.2018 13:00 - 29.03.2018 14:00,0,70
29.03.2018 14:00 - 29.03.2018 15:00,0,105
29.03.2018 15:00 - 29.03.2018 16:00,0,110
29.03.2018 16:00 - 29.03.2018 17:00,0,106
29.03.2018 17:00 - 29.03.2018 18:00,0,105
29.03.2018 18:00 - 29.03.2018 19:00,0,47
29.03.2018 19:00 - 29.03.2018 20:00,91,0
29.03.2018 20:00 - 29.03.2018 21:00,254,0
29.03.2018 21:00 - 29.03.2018 22:00,345,0
29.03.2018 22:00 - 29.03.2018 23:00,422,0
29.03.2018 23:00 - 30.03.2018 00:00,147,0
30.03.2018 00:00 - 30.03.2018 01:00,118,0
30.03.2018 01:00 - 30.03.2018 02:00,118,0
30.03.2018 02:00 - 30.03.2018 03:00,125,0
30.03.2018 03:00 - 30.03.2018 04:00,108,0
30.03.2018 04:00 - 30.03.2018 05:00,0,109
30.03.2018 05:00 - 30.03.2018 06:00,0,175
30.03.2018 06:00 - 30.03.2018 07:00,37,0
30.03.2018 07:00 - 30.03.2018 08:00,63,0
30.03.2018 08:00 - 30.03.2018 09:00,44,0
30.03.2018 09:00 - 30.03.2018 10:00,69,0
30.03.2018 10:00 - 30.03.2018 11:00,86,0
30.03.2018 11:00 - 30.03.2018 12:00,45,0
30.03.2018 12:00 - 30.03.2018 13:00,51,0
30.03.2018 13:00 - 30.03.2018 14:00,35,0
30.03.2018 14:00 - 30.03.2018 15:00,39,0
30.03.2018 15:00 - 30.03.2018 16:00,64,0
30.03.2018 16:00 - 30.03.2018 17:00,34,0
30.03.2018 17:00 - 30.03.2018 18:00,2,0
30.03.2018 18:00 - 30.03.2018 19:00,76,0
30.03.2018 19:00 - 30.03.2018 20:00,114,0
30.03.2018 20:00 - 30.03.2018 21:00,234,0
30.03.2018 21:00 - 30.03.2018 22:00,371,0
30.03.2018 22:00 - 30.03.2018 23:00,522,0
30.03.2018 23:00 - 31.03.2018 00:00,416,0
31.03.2018 00:00 - 31.03.2018 01:00,345,0
31.03.2018 01:00 - 31.03.2018 02:00,367,0
31.03.2018 02:00 - 31.03.2018 03:00,383,0
31.03.2018 03:00 - 31.03.2018 04:00,248,0
31.03.2018 04:00 - 31.03.2018 05:00,206,0
31.03.2018 05:00 - 31.03.2018 06:00,152,0
31.03.2018 06:00 - 31.03.2018 07:00,0,66
31.03.2018 07:00 - 31.03.2018 08:00,0,73
31.03.2018 08:00 - 31.03.2018 09:00,0,47
31.03.2018 09:00 - 31.03.2018 10:00,0,34
31.03.2018 10:00 - 31.03.2018 11:00,67,0
31.03.2018 11:00 - 31.03.2018 12:00,109,0
31.03.2018 12:00 - 31.03.2018 13:00,126,0
31.03.2018 13:00 - 31.03.2018 14:00,112,0
31.03.2018 14:00 - 31.03.2018 15:00,90,0
31.03.2018 15:00 - 31.03.2018 16:00,89,0
31.03.2018 16:00 - 31.03.2018 17:00,3,0
31.03.2018 17:00 - 31.03.2018 18:00,0,96
31.03.2018 18:00 - 31.03.2018 19:00,0,9
31.03.2018 19:00 - 31.03.2018 20:00,61,0
31.03.2018 20:00 - 31.03.2018 21:00,211,0
31.03.2018 21:00 - 31.03.2018 22:00,268,0
31.03.2018 22:00 - 31.03.2018 23:00,347,0
31.03.2018 23:00 - 01.04.2018 00:00,232,0
01.04.2018 00:00 - 01.04.2018 01:00,178,0
01.04.2018 01:00 - 01.04.2018 02:00,151,0
01.04.2018 02:00 - 01.04.2018 03:00,148,0
01.04.2018 03:00 - 01.04.2018 04:00,93,0
01.04.2018 04:00 - 01.04.2018 05:00,93,0
01.04.2018 05:00 - 01.04.2018 06:00,175,0
01.04.2018 06:00 - 01.04.2018 07:00,108,0
01.04.2018 07:00 - 01.04.2018 08:00,0,6
01.04.2018 08:00 - 01.04.2018 09:00,19,0
01.04.2018 09:00 - 01.04.2018 10:00,0,5
01.04.2018 10:00 - 01.04.2018 11:00,0,2
01.04.2018 11:00 - 01.04.2018 12:00,0,27
01.04.2018 12:00 - 01.04.2018 13:00,0,18
01.04.2018 13:00 - 01.04.2018 14:00,0,34
01.04.2018 14:00 - 01.04.2018 15:00,0,20
01.04.2018 15:00 - 01.04.2018 16:00,0,8
01.04.2018 16:00 - 01.04.2018 17:00,0,30
01.04.2018 17:00 - 01.04.2018 18:00,0,143
01.04.2018 18:00 - 01.04.2018 19:00,0,107
01.04.2018 19:00 - 01.04.2018 20:00,0,48
01.04.2018 20:00 - 01.04.2018 21:00,93,0
01.04.2018 21:00 - 01.04.2018 22:00,219,0
01.04.2018 22:00 - 01.04.2018 23:00,361,0
01.04.2018 23:00 - 02.04.2018 00:00,370,0
02.04.2018 00:00 - 02.04.2018 01:00,409,0
02.04.2018 01:00 - 02.04.2018 02:00,371,0
02.04.2018 02:00 - 02.04.2018 03:00,299,0
02.04.2018 03:00 - 02.04.2018 04:00,26,0
02.04.2018 04:00 - 02.04.2018 05:00,0,168
02.04.2018 05:00 - 02.04.2018 06:00,0,362
02.04.2018 06:00 - 02.04.2018 07:00,0,309
02.04.2018 07:00 - 02.04.2018 08:00,0,255
02.04.2018 08:00 - 02.04.2018 09:00,0,254
02.04.2018 09:00 - 02.04.2018 10:00,0,203
02.04.2018 10:00 - 02.04.2018 11:00,0,226
02.04.2018 11:00 - 02.04.2018 12:00,0,244
02.04.2018 12:00 - 02.04.2018 13:00,0,204
02.04.2018 13:00 - 02.04.2018 14:00,0,115
02.04.2018 14:00 - 02.04.2018 15:00,0,132
02.04.2018 15:00 - 02.04.2018 16:00,0,240
02.04.2018 16:00 - 02.04.2018 17:00,0,249
02.04.2018 17:00 - 02.04.2018 18:00,0,235
02.04.2018 18:00 - 02.04.2018 19:00,0,116
02.04.2018 19:00 - 02.04.2018 20:00,56,0
02.04.2018 20:00 - 02.04.2018 21:00,98,0
02.04.2018 21:00 - 02.04.2018 22:00,186,0
02.04.2018 22:00 - 02.04.2018 23:00,505,0
02.04.2018 23:00 - 03.04.2018 00:00,424,0
03.04.2018 00:00 - 03.04.2018 01:00,401,0
03.04.2018 01:00 - 03.04.2018 02:00,402,0
03.04.2018 02:00 - 03.04.2018 03:00,427,0
03.04.2018 03:00 - 03.04.2018 04:00,275,0
03.04.2018 04:00 - 03.04.2018 05:00,18,0
03.04.2018 05:00 - 03.04.2018 06:00,0,131
03.04.2018 06:00 - 03.04.2018 07:00,1,0
03.04.2018 07:00 - 03.04.2018 08:00,1,0
03.04.2018 08:00 - 03.04.2018 09:00,113,0
03.04.2018 09:00 - 03.04.2018 10:00,77,0
03.04.2018 10:00 - 03.04.2018 11:00,95,0
03.04.2018 11:00 - 03.04.2018 12:00,85,0
03.04.2018 12:00 - 03.04.2018 13:00,157,0
03.04.2018 13:00 - 03.04.2018 14:00,299,0
03.04.2018 14:00 - 03.04.2018 15:00,253,0
03.04.2018 15:00 - 03.04.2018 16:00,160,0
03.04.2018 16:00 - 03.04.2018 17:00,106,0
03.04.2018 17:00 - 03.04.2018 18:00,115,0
03.04.2018 18:00 - 03.04.2018 19:00,124,0
03.04.2018 19:00 - 03.04.2018 20:00,256,0
03.04.2018 20:00 - 03.04.2018 21:00,288,0
03.04.2018 21:00 - 03.04.2018 22:00,333,0
03.04.2018 22:00 - 03.04.2018 23:00,555,0
03.04.2018 23:00 - 04.04.2018 00:00,397,0
04.04.2018 00:00 - 04.04.2018 01:00,287,0
04.04.2018 01:00 - 04.04.2018 02:00,303,0
04.04.2018 02:00 - 04.04.2018 03:00,294,0
04.04.2018 03:00 - 04.04.2018 04:00,251,0
04.04.2018 04:00 - 04.04.2018 05:00,145,0
04.04.2018 05:00 - 04.04.2018 06:00,0,225
04.04.2018 06:00 - 04.04.2018 07:00,100,0
04.04.2018 07:00 - 04.04.2018 08:00,42,0
04.04.2018 08:00 - 04.04.2018 09:00,169,0
04.04.2018 09:00 - 04.04.2018 10:00,193,0
04.04.2018 10:00 - 04.04.2018 11:00,58,0
04.04.2018 11:00 - 04.04.2018 12:00,72,0
04.04.2018 12:00 - 04.04.2018 13:00,70,0
04.04.2018 13:00 - 04.04.2018 14:00,77,0
04.04.2018 14:00 - 04.04.2018 15:00,105,0
04.04.2018 15:00 - 04.04.2018 16:00,55,0
04.04.2018 16:00 - 04.04.2018 17:00,43,0
04.04.2018 17:00 - 04.04.2018 18:00,0,13
04.04.2018 18:00 - 04.04.2018 19:00,31,0
04.04.2018 19:00 - 04.04.2018 20:00,171,0
04.04.2018 20:00 - 04.04.2018 21:00,302,0
04.04.2018 21:00 - 04.04.2018 22:00,566,0
04.04.2018 22:00 - 04.04.2018 23:00,310,0
04.04.2018 23:00 - 05.04.2018 00:00,441,0
05.04.2018 00:00 - 05.04.2018 01:00,446,0
05.04.2018 01:00 - 05.04.2018 02:00,427,0
05.04.2018 02:00 - 05.04.2018 03:00,372,0
05.04.2018 03:00 - 05.04.2018 04:00,309,0
05.04.2018 04:00 - 05.04.2018 05:00,179,0
05.04.2018 05:00 - 05.04.2018 06:00,0,156
05.04.2018 06:00 - 05.04.2018 07:00,132,0
05.04.2018 07:00 - 05.04.2018 08:00,30,0
05.04.2018 08:00 - 05.04.2018 09:00,259,0
05.04.2018 09:00 - 05.04.2018 10:00,320,0
05.04.2018 10:00 - 05.04.2018 11:00,274,0
05.04.2018 11:00 - 05.04.2018 12:00,286,0
05.04.2018 12:00 - 05.04.2018 13:00,270,0
05.04.2018 13:00 - 05.04.2018 14:00,299,0
05.04.2018 14:00 - 05.04.2018 15:00,213,0
05.04.2018 15:00 - 05.04.2018 16:00,212,0
05.04.2018 16:00 - 05.04.2018 17:00,245,0
05.04.2018 17:00 - 05.04.2018 18:00,221,0
05.04.2018 18:00 - 05.04.2018 19:00,204,0
05.04.2018 19:00 - 05.04.2018 20:00,212,0
05.04.2018 20:00 - 05.04.2018 21:00,317,0
05.04.2018 21:00 - 05.04.2018 22:00,466,0
05.04.2018 22:00 - 05.04.2018 23:00,362,0
05.04.2018 23:00 - 06.04.2018 00:00,238,0
06.04.2018 00:00 - 06.04.2018 01:00,163,0
06.04.2018 01:00 - 06.04.2018 02:00,15,0
06.04.2018 02:00 - 06.04.2018 03:00,0,0
06.04.2018 03:00 - 06.04.2018 04:00,0,41
06.04.2018 04:00 - 06.04.2018 05:00,0,45
06.04.2018 05:00 - 06.04.2018 06:00,0,133
06.04.2018 06:00 - 06.04.2018 07:00,75,0
06.04.2018 07:00 - 06.04.2018 08:00,210,0
06.04.2018 08:00 - 06.04.2018 09:00,113,0
06.04.2018 09:00 - 06.04.2018 10:00,62,0
06.04.2018 10:00 - 06.04.2018 11:00,32,0
06.04.2018 11:00 - 06.04.2018 12:00,28,0
06.04.2018 12:00 - 06.04.2018 13:00,58,0
06.04.2018 13:00 - 06.04.2018 14:00,237,0
06.04.2018 14:00 - 06.04.2018 15:00,244,0
06.04.2018 15:00 - 06.04.2018 16:00,139,0
06.04.2018 16:00 - 06.04.2018 17:00,148,0
06.04.2018 17:00 - 06.04.2018 18:00,65,0
06.04.2018 18:00 - 06.04.2018 19:00,98,0
06.04.2018 19:00 - 06.04.2018 20:00,246,0
06.04.2018 20:00 - 06.04.2018 21:00,474,0
06.04.2018 21:00 - 06.04.2018 22:00,528,0
06.04.2018 22:00 - 06.04.2018 23:00,783,0
