Time (WET),Albania (AL) > Greece (GR) [MW],Greece (GR) > Albania (AL) [MW]
15.03.2018 08:00 - 15.03.2018 09:00,506,0
15.03.2018 09:00 - 15.03.2018 10:00,519,0
15.03.2018 10:00 - 15.03.2018 11:00,525,0
15.03.2018 11:00 - 15.03.2018 12:00,540,0
15.03.2018 12:00 - 15.03.2018 13:00,527,0
15.03.2018 13:00 - 15.03.2018 14:00,534,0
15.03.2018 14:00 - 15.03.2018 15:00,541,0
15.03.2018 15:00 - 15.03.2018 16:00,546,0
15.03.2018 16:00 - 15.03.2018 17:00,507,0
15.03.2018 17:00 - 15.03.2018 18:00,455,0
15.03.2018 18:00 - 15.03.2018 19:00,459,0
15.03.2018 19:00 - 15.03.2018 20:00,429,0
15.03.2018 20:00 - 15.03.2018 21:00,459,0
15.03.2018 21:00 - 15.03.2018 22:00,496,0
15.03.2018 22:00 - 15.03.2018 23:00,499,0
15.03.2018 23:00 - 16.03.2018 00:00,528,0
16.03.2018 00:00 - 16.03.2018 01:00,543,0
16.03.2018 01:00 - 16.03.2018 02:00,550,0
16.03.2018 02:00 - 16.03.2018 03:00,554,0
16.03.2018 03:00 - 16.03.2018 04:00,537,0
16.03.2018 04:00 - 16.03.2018 05:00,517,0
16.03.2018 05:00 - 16.03.2018 06:00,580,0
16.03.2018 06:00 - 16.03.2018 07:00,518,0
16.03.2018 07:00 - 16.03.2018 08:00,496,0
16.03.2018 08:00 - 16.03.2018 09:00,526,0
16.03.2018 09:00 - 16.03.2018 10:00,511,0
16.03.2018 10:00 - 16.03.2018 11:00,474,0
16.03.2018 11:00 - 16.03.2018 12:00,498,0
16.03.2018 12:00 - 16.03.2018 13:00,491,0
16.03.2018 13:00 - 16.03.2018 14:00,476,0
16.03.2018 14:00 - 16.03.2018 15:00,475,0
16.03.2018 15:00 - 16.03.2018 16:00,466,0
16.03.2018 16:00 - 16.03.2018 17:00,428,0
16.03.2018 17:00 - 16.03.2018 18:00,356,0
16.03.2018 18:00 - 16.03.2018 19:00,388,0
16.03.2018 19:00 - 16.03.2018 20:00,407,0
16.03.2018 20:00 - 16.03.2018 21:00,411,0
16.03.2018 21:00 - 16.03.2018 22:00,448,0
16.03.2018 22:00 - 16.03.2018 23:00,469,0
16.03.2018 23:00 - 17.03.2018 00:00,495,0
17.03.2018 00:00 - 17.03.2018 01:00,507,0
17.03.2018 01:00 - 17.03.2018 02:00,503,0
17.03.2018 02:00 - 17.03.2018 03:00,518,0
17.03.2018 03:00 - 17.03.2018 04:00,515,0
17.03.2018 04:00 - 17.03.2018 05:00,525,0
17.03.2018 05:00 - 17.03.2018 06:00,546,0
17.03.2018 06:00 - 17.03.2018 07:00,501,0
17.03.2018 07:00 - 17.03.2018 08:00,433,0
17.03.2018 08:00 - 17.03.2018 09:00,409,0
17.03.2018 09:00 - 17.03.2018 10:00,404,0
17.03.2018 10:00 - 17.03.2018 11:00,433,0
17.03.2018 11:00 - 17.03.2018 12:00,459,0
17.03.2018 12:00 - 17.03.2018 13:00,475,0
17.03.2018 13:00 - 17.03.2018 14:00,441,0
17.03.2018 14:00 - 17.03.2018 15:00,435,0
17.03.2018 15:00 - 17.03.2018 16:00,433,0
17.03.2018 16:00 - 17.03.2018 17:00,436,0
17.03.2018 17:00 - 17.03.2018 18:00,374,0
17.03.2018 18:00 - 17.03.2018 19:00,369,0
17.03.2018 19:00 - 17.03.2018 20:00,412,0
17.03.2018 20:00 - 17.03.2018 21:00,456,0
17.03.2018 21:00 - 17.03.2018 22:00,498,0
17.03.2018 22:00 - 17.03.2018 23:00,559,0
17.03.2018 23:00 - 18.03.2018 00:00,560,0
18.03.2018 00:00 - 18.03.2018 01:00,504,0
18.03.2018 01:00 - 18.03.2018 02:00,524,0
18.03.2018 02:00 - 18.03.2018 03:00,506,0
18.03.2018 03:00 - 18.03.2018 04:00,479,0
18.03.2018 04:00 - 18.03.2018 05:00,496,0
18.03.2018 05:00 - 18.03.2018 06:00,518,0
18.03.2018 06:00 - 18.03.2018 07:00,487,0
18.03.2018 07:00 - 18.03.2018 08:00,408,0
18.03.2018 08:00 - 18.03.2018 09:00,447,0
18.03.2018 09:00 - 18.03.2018 10:00,425,0
18.03.2018 10:00 - 18.03.2018 11:00,425,0
18.03.2018 11:00 - 18.03.2018 12:00,406,0
18.03.2018 12:00 - 18.03.2018 13:00,395,0
18.03.2018 13:00 - 18.03.2018 14:00,436,0
18.03.2018 14:00 - 18.03.2018 15:00,521,0
18.03.2018 15:00 - 18.03.2018 16:00,469,0
18.03.2018 16:00 - 18.03.2018 17:00,515,0
18.03.2018 17:00 - 18.03.2018 18:00,429,0
18.03.2018 18:00 - 18.03.2018 19:00,404,0
18.03.2018 19:00 - 18.03.2018 20:00,405,0
18.03.2018 20:00 - 18.03.2018 21:00,453,0
18.03.2018 21:00 - 18.03.2018 22:00,456,0
18.03.2018 22:00 - 18.03.2018 23:00,468,0
18.03.2018 23:00 - 19.03.2018 00:00,468,0
19.03.2018 00:00 - 19.03.2018 01:00,441,0
19.03.2018 01:00 - 19.03.2018 02:00,439,0
19.03.2018 02:00 - 19.03.2018 03:00,448,0
19.03.2018 03:00 - 19.03.2018 04:00,438,0
19.03.2018 04:00 - 19.03.2018 05:00,429,0
19.03.2018 05:00 - 19.03.2018 06:00,455,0
19.03.2018 06:00 - 19.03.2018 07:00,312,0
19.03.2018 07:00 - 19.03.2018 08:00,298,0
19.03.2018 08:00 - 19.03.2018 09:00,304,0
19.03.2018 09:00 - 19.03.2018 10:00,295,0
19.03.2018 10:00 - 19.03.2018 11:00,310,0
19.03.2018 11:00 - 19.03.2018 12:00,376,0
19.03.2018 12:00 - 19.03.2018 13:00,391,0
19.03.2018 13:00 - 19.03.2018 14:00,399,0
19.03.2018 14:00 - 19.03.2018 15:00,389,0
19.03.2018 15:00 - 19.03.2018 16:00,371,0
19.03.2018 16:00 - 19.03.2018 17:00,303,0
19.03.2018 17:00 - 19.03.2018 18:00,234,0
19.03.2018 18:00 - 19.03.2018 19:00,244,0
19.03.2018 19:00 - 19.03.2018 20:00,280,0
19.03.2018 20:00 - 19.03.2018 21:00,309,0
19.03.2018 21:00 - 19.03.2018 22:00,403,0
19.03.2018 22:00 - 19.03.2018 23:00,469,0
19.03.2018 23:00 - 20.03.2018 00:00,466,0
20.03.2018 00:00 - 20.03.2018 01:00,462,0
20.03.2018 01:00 - 20.03.2018 02:00,448,0
20.03.2018 02:00 - 20.03.2018 03:00,437,0
20.03.2018 03:00 - 20.03.2018 04:00,444,0
20.03.2018 04:00 - 20.03.2018 05:00,92,0
20.03.2018 05:00 - 20.03.2018 06:00,410,0
20.03.2018 06:00 - 20.03.2018 07:00,310,0
20.03.2018 07:00 - 20.03.2018 08:00,271,0
20.03.2018 08:00 - 20.03.2018 09:00,297,0
20.03.2018 09:00 - 20.03.2018 10:00,332,0
20.03.2018 10:00 - 20.03.2018 11:00,302,0
20.03.2018 11:00 - 20.03.2018 12:00,339,0
20.03.2018 12:00 - 20.03.2018 13:00,334,0
20.03.2018 13:00 - 20.03.2018 14:00,365,0
20.03.2018 14:00 - 20.03.2018 15:00,409,0
20.03.2018 15:00 - 20.03.2018 16:00,385,0
20.03.2018 16:00 - 20.03.2018 17:00,346,0
20.03.2018 17:00 - 20.03.2018 18:00,248,0
20.03.2018 18:00 - 20.03.2018 19:00,252,0
20.03.2018 19:00 - 20.03.2018 20:00,259,0
20.03.2018 20:00 - 20.03.2018 21:00,353,0
20.03.2018 21:00 - 20.03.2018 22:00,406,0
20.03.2018 22:00 - 20.03.2018 23:00,470,0
20.03.2018 23:00 - 21.03.2018 00:00,480,0
21.03.2018 00:00 - 21.03.2018 01:00,478,0
21.03.2018 01:00 - 21.03.2018 02:00,488,0
21.03.2018 02:00 - 21.03.2018 03:00,458,0
21.03.2018 03:00 - 21.03.2018 04:00,465,0
21.03.2018 04:00 - 21.03.2018 05:00,446,0
21.03.2018 05:00 - 21.03.2018 06:00,405,0
21.03.2018 06:00 - 21.03.2018 07:00,251,0
21.03.2018 07:00 - 21.03.2018 08:00,234,0
21.03.2018 08:00 - 21.03.2018 09:00,207,0
21.03.2018 09:00 - 21.03.2018 10:00,167,0
21.03.2018 10:00 - 21.03.2018 11:00,232,0
21.03.2018 11:00 - 21.03.2018 12:00,227,0
21.03.2018 12:00 - 21.03.2018 13:00,253,0
21.03.2018 13:00 - 21.03.2018 14:00,282,0
21.03.2018 14:00 - 21.03.2018 15:00,317,0
21.03.2018 15:00 - 21.03.2018 16:00,327,0
21.03.2018 16:00 - 21.03.2018 17:00,293,0
21.03.2018 17:00 - 21.03.2018 18:00,191,0
21.03.2018 18:00 - 21.03.2018 19:00,207,0
21.03.2018 19:00 - 21.03.2018 20:00,241,0
21.03.2018 20:00 - 21.03.2018 21:00,309,0
21.03.2018 21:00 - 21.03.2018 22:00,375,0
21.03.2018 22:00 - 21.03.2018 23:00,434,0
21.03.2018 23:00 - 22.03.2018 00:00,377,0
22.03.2018 00:00 - 22.03.2018 01:00,358,0
22.03.2018 01:00 - 22.03.2018 02:00,366,0
22.03.2018 02:00 - 22.03.2018 03:00,364,0
22.03.2018 03:00 - 22.03.2018 04:00,373,0
22.03.2018 04:00 - 22.03.2018 05:00,392,0
22.03.2018 05:00 - 22.03.2018 06:00,383,0
22.03.2018 06:00 - 22.03.2018 07:00,323,0
22.03.2018 07:00 - 22.03.2018 08:00,327,0
22.03.2018 08:00 - 22.03.2018 09:00,282,0
22.03.2018 09:00 - 22.03.2018 10:00,292,0
22.03.2018 10:00 - 22.03.2018 11:00,269,0
22.03.2018 11:00 - 22.03.2018 12:00,277,0
22.03.2018 12:00 - 22.03.2018 13:00,320,0
22.03.2018 13:00 - 22.03.2018 14:00,309,0
22.03.2018 14:00 - 22.03.2018 15:00,315,0
22.03.2018 15:00 - 22.03.2018 16:00,304,0
22.03.2018 16:00 - 22.03.2018 17:00,300,0
22.03.2018 17:00 - 22.03.2018 18:00,186,0
22.03.2018 18:00 - 22.03.2018 19:00,162,0
22.03.2018 19:00 - 22.03.2018 20:00,161,0
22.03.2018 20:00 - 22.03.2018 21:00,280,0
22.03.2018 21:00 - 22.03.2018 22:00,350,0
22.03.2018 22:00 - 22.03.2018 23:00,382,0
22.03.2018 23:00 - 23.03.2018 00:00,342,0
23.03.2018 00:00 - 23.03.2018 01:00,357,0
23.03.2018 01:00 - 23.03.2018 02:00,362,0
23.03.2018 02:00 - 23.03.2018 03:00,298,0
23.03.2018 03:00 - 23.03.2018 04:00,284,0
23.03.2018 04:00 - 23.03.2018 05:00,333,0
23.03.2018 05:00 - 23.03.2018 06:00,342,0
23.03.2018 06:00 - 23.03.2018 07:00,272,0
23.03.2018 07:00 - 23.03.2018 08:00,238,0
23.03.2018 08:00 - 23.03.2018 09:00,225,0
23.03.2018 09:00 - 23.03.2018 10:00,218,0
23.03.2018 10:00 - 23.03.2018 11:00,201,0
23.03.2018 11:00 - 23.03.2018 12:00,212,0
23.03.2018 12:00 - 23.03.2018 13:00,208,0
23.03.2018 13:00 - 23.03.2018 14:00,241,0
23.03.2018 14:00 - 23.03.2018 15:00,216,0
23.03.2018 15:00 - 23.03.2018 16:00,262,0
23.03.2018 16:00 - 23.03.2018 17:00,243,0
23.03.2018 17:00 - 23.03.2018 18:00,166,0
23.03.2018 18:00 - 23.03.2018 19:00,164,0
23.03.2018 19:00 - 23.03.2018 20:00,182,0
23.03.2018 20:00 - 23.03.2018 21:00,265,0
23.03.2018 21:00 - 23.03.2018 22:00,269,0
23.03.2018 22:00 - 23.03.2018 23:00,322,0
23.03.2018 23:00 - 24.03.2018 00:00,343,0
24.03.2018 00:00 - 24.03.2018 01:00,385,0
24.03.2018 01:00 - 24.03.2018 02:00,368,0
24.03.2018 02:00 - 24.03.2018 03:00,421,0
24.03.2018 03:00 - 24.03.2018 04:00,415,0
24.03.2018 04:00 - 24.03.2018 05:00,332,0
24.03.2018 05:00 - 24.03.2018 06:00,345,0
24.03.2018 06:00 - 24.03.2018 07:00,344,0
24.03.2018 07:00 - 24.03.2018 08:00,326,0
24.03.2018 08:00 - 24.03.2018 09:00,329,0
24.03.2018 09:00 - 24.03.2018 10:00,297,0
24.03.2018 10:00 - 24.03.2018 11:00,284,0
24.03.2018 11:00 - 24.03.2018 12:00,273,0
24.03.2018 12:00 - 24.03.2018 13:00,271,0
24.03.2018 13:00 - 24.03.2018 14:00,288,0
24.03.2018 14:00 - 24.03.2018 15:00,288,0
24.03.2018 15:00 - 24.03.2018 16:00,315,0
24.03.2018 16:00 - 24.03.2018 17:00,320,0
24.03.2018 17:00 - 24.03.2018 18:00,275,0
24.03.2018 18:00 - 24.03.2018 19:00,284,0
24.03.2018 19:00 - 24.03.2018 20:00,286,0
24.03.2018 20:00 - 24.03.2018 21:00,336,0
24.03.2018 21:00 - 24.03.2018 22:00,304,0
24.03.2018 22:00 - 24.03.2018 23:00,331,0
24.03.2018 23:00 - 25.03.2018 00:00,347,0
25.03.2018 00:00 - 25.03.2018 01:00,414,0
25.03.2018 01:00 - 25.03.2018 02:00,,
25.03.2018 02:00 - 25.03.2018 03:00,406,0
25.03.2018 03:00 - 25.03.2018 04:00,406,0
25.03.2018 04:00 - 25.03.2018 05:00,406,0
25.03.2018 05:00 - 25.03.2018 06:00,356,0
25.03.2018 06:00 - 25.03.2018 07:00,381,0
25.03.2018 07:00 - 25.03.2018 08:00,388,0
25.03.2018 08:00 - 25.03.2018 09:00,375,0
25.03.2018 09:00 - 25.03.2018 10:00,372,0
25.03.2018 10:00 - 25.03.2018 11:00,363,0
25.03.2018 11:00 - 25.03.2018 12:00,378,0
25.03.2018 12:00 - 25.03.2018 13:00,370,0
25.03.2018 13:00 - 25.03.2018 14:00,316,0
25.03.2018 14:00 - 25.03.2018 15:00,316,0
25.03.2018 15:00 - 25.03.2018 16:00,289,0
25.03.2018 16:00 - 25.03.2018 17:00,243,0
25.03.2018 17:00 - 25.03.2018 18:00,274,0
25.03.2018 18:00 - 25.03.2018 19:00,312,0
25.03.2018 19:00 - 25.03.2018 20:00,337,0
25.03.2018 20:00 - 25.03.2018 21:00,355,0
25.03.2018 21:00 - 25.03.2018 22:00,371,0
25.03.2018 22:00 - 25.03.2018 23:00,380,0
25.03.2018 23:00 - 26.03.2018 00:00,356,0
26.03.2018 00:00 - 26.03.2018 01:00,430,0
26.03.2018 01:00 - 26.03.2018 02:00,412,0
26.03.2018 02:00 - 26.03.2018 03:00,393,0
26.03.2018 03:00 - 26.03.2018 04:00,378,0
26.03.2018 04:00 - 26.03.2018 05:00,416,0
26.03.2018 05:00 - 26.03.2018 06:00,398,0
26.03.2018 06:00 - 26.03.2018 07:00,344,0
26.03.2018 07:00 - 26.03.2018 08:00,304,0
26.03.2018 08:00 - 26.03.2018 09:00,311,0
26.03.2018 09:00 - 26.03.2018 10:00,296,0
26.03.2018 10:00 - 26.03.2018 11:00,286,0
26.03.2018 11:00 - 26.03.2018 12:00,266,0
26.03.2018 12:00 - 26.03.2018 13:00,269,0
26.03.2018 13:00 - 26.03.2018 14:00,312,0
26.03.2018 14:00 - 26.03.2018 15:00,367,0
26.03.2018 15:00 - 26.03.2018 16:00,385,0
26.03.2018 16:00 - 26.03.2018 17:00,332,0
26.03.2018 17:00 - 26.03.2018 18:00,280,0
26.03.2018 18:00 - 26.03.2018 19:00,287,0
26.03.2018 19:00 - 26.03.2018 20:00,308,0
26.03.2018 20:00 - 26.03.2018 21:00,347,0
26.03.2018 21:00 - 26.03.2018 22:00,379,0
26.03.2018 22:00 - 26.03.2018 23:00,381,0
26.03.2018 23:00 - 27.03.2018 00:00,396,0
27.03.2018 00:00 - 27.03.2018 01:00,362,0
27.03.2018 01:00 - 27.03.2018 02:00,363,0
27.03.2018 02:00 - 27.03.2018 03:00,361,0
27.03.2018 03:00 - 27.03.2018 04:00,365,0
27.03.2018 04:00 - 27.03.2018 05:00,384,0
27.03.2018 05:00 - 27.03.2018 06:00,381,0
27.03.2018 06:00 - 27.03.2018 07:00,342,0
27.03.2018 07:00 - 27.03.2018 08:00,346,0
27.03.2018 08:00 - 27.03.2018 09:00,298,0
27.03.2018 09:00 - 27.03.2018 10:00,327,0
27.03.2018 10:00 - 27.03.2018 11:00,295,0
27.03.2018 11:00 - 27.03.2018 12:00,340,0
27.03.2018 12:00 - 27.03.2018 13:00,335,0
27.03.2018 13:00 - 27.03.2018 14:00,331,0
27.03.2018 14:00 - 27.03.2018 15:00,357,0
27.03.2018 15:00 - 27.03.2018 16:00,391,0
27.03.2018 16:00 - 27.03.2018 17:00,382,0
27.03.2018 17:00 - 27.03.2018 18:00,370,0
27.03.2018 18:00 - 27.03.2018 19:00,340,0
27.03.2018 19:00 - 27.03.2018 20:00,348,0
27.03.2018 20:00 - 27.03.2018 21:00,327,0
27.03.2018 21:00 - 27.03.2018 22:00,353,0
27.03.2018 22:00 - 27.03.2018 23:00,396,0
27.03.2018 23:00 - 28.03.2018 00:00,365,0
28.03.2018 00:00 - 28.03.2018 01:00,381,0
28.03.2018 01:00 - 28.03.2018 02:00,378,0
28.03.2018 02:00 - 28.03.2018 03:00,379,0
28.03.2018 03:00 - 28.03.2018 04:00,353,0
28.03.2018 04:00 - 28.03.2018 05:00,414,0
28.03.2018 05:00 - 28.03.2018 06:00,387,0
28.03.2018 06:00 - 28.03.2018 07:00,376,0
28.03.2018 07:00 - 28.03.2018 08:00,348,0
28.03.2018 08:00 - 28.03.2018 09:00,305,0
28.03.2018 09:00 - 28.03.2018 10:00,339,0
28.03.2018 10:00 - 28.03.2018 11:00,324,0
28.03.2018 11:00 - 28.03.2018 12:00,343,0
28.03.2018 12:00 - 28.03.2018 13:00,421,0
28.03.2018 13:00 - 28.03.2018 14:00,454,0
28.03.2018 14:00 - 28.03.2018 15:00,396,0
28.03.2018 15:00 - 28.03.2018 16:00,428,0
28.03.2018 16:00 - 28.03.2018 17:00,428,0
28.03.2018 17:00 - 28.03.2018 18:00,428,0
28.03.2018 18:00 - 28.03.2018 19:00,404,0
28.03.2018 19:00 - 28.03.2018 20:00,405,0
28.03.2018 20:00 - 28.03.2018 21:00,419,0
28.03.2018 21:00 - 28.03.2018 22:00,386,0
28.03.2018 22:00 - 28.03.2018 23:00,503,0
28.03.2018 23:00 - 29.03.2018 00:00,360,0
29.03.2018 00:00 - 29.03.2018 01:00,396,0
29.03.2018 01:00 - 29.03.2018 02:00,401,0
29.03.2018 02:00 - 29.03.2018 03:00,389,0
29.03.2018 03:00 - 29.03.2018 04:00,424,0
29.03.2018 04:00 - 29.03.2018 05:00,432,0
29.03.2018 05:00 - 29.03.2018 06:00,481,0
29.03.2018 06:00 - 29.03.2018 07:00,434,0
29.03.2018 07:00 - 29.03.2018 08:00,393,0
29.03.2018 08:00 - 29.03.2018 09:00,417,0
29.03.2018 09:00 - 29.03.2018 10:00,451,0
29.03.2018 10:00 - 29.03.2018 11:00,429,0
29.03.2018 11:00 - 29.03.2018 12:00,447,0
29.03.2018 12:00 - 29.03.2018 13:00,439,0
29.03.2018 13:00 - 29.03.2018 14:00,499,0
29.03.2018 14:00 - 29.03.2018 15:00,488,0
29.03.2018 15:00 - 29.03.2018 16:00,520,0
29.03.2018 16:00 - 29.03.2018 17:00,447,0
29.03.2018 17:00 - 29.03.2018 18:00,523,0
29.03.2018 18:00 - 29.03.2018 19:00,396,0
29.03.2018 19:00 - 29.03.2018 20:00,355,0
29.03.2018 20:00 - 29.03.2018 21:00,333,0
29.03.2018 21:00 - 29.03.2018 22:00,377,0
29.03.2018 22:00 - 29.03.2018 23:00,420,0
29.03.2018 23:00 - 30.03.2018 00:00,379,0
30.03.2018 00:00 - 30.03.2018 01:00,387,0
30.03.2018 01:00 - 30.03.2018 02:00,375,0
30.03.2018 02:00 - 30.03.2018 03:00,393,0
30.03.2018 03:00 - 30.03.2018 04:00,401,0
30.03.2018 04:00 - 30.03.2018 05:00,383,0
30.03.2018 05:00 - 30.03.2018 06:00,446,0
30.03.2018 06:00 - 30.03.2018 07:00,439,0
30.03.2018 07:00 - 30.03.2018 08:00,453,0
30.03.2018 08:00 - 30.03.2018 09:00,446,0
30.03.2018 09:00 - 30.03.2018 10:00,442,0
30.03.2018 10:00 - 30.03.2018 11:00,394,0
30.03.2018 11:00 - 30.03.2018 12:00,438,0
30.03.2018 12:00 - 30.03.2018 13:00,422,0
30.03.2018 13:00 - 30.03.2018 14:00,440,0
30.03.2018 14:00 - 30.03.2018 15:00,462,0
30.03.2018 15:00 - 30.03.2018 16:00,472,0
30.03.2018 16:00 - 30.03.2018 17:00,449,0
30.03.2018 17:00 - 30.03.2018 18:00,437,0
30.03.2018 18:00 - 30.03.2018 19:00,409,0
30.03.2018 19:00 - 30.03.2018 20:00,374,0
30.03.2018 20:00 - 30.03.2018 21:00,396,0
30.03.2018 21:00 - 30.03.2018 22:00,435,0
30.03.2018 22:00 - 30.03.2018 23:00,518,0
30.03.2018 23:00 - 31.03.2018 00:00,470,0
31.03.2018 00:00 - 31.03.2018 01:00,446,0
31.03.2018 01:00 - 31.03.2018 02:00,460,0
31.03.2018 02:00 - 31.03.2018 03:00,474,0
31.03.2018 03:00 - 31.03.2018 04:00,476,0
31.03.2018 04:00 - 31.03.2018 05:00,431,0
31.03.2018 05:00 - 31.03.2018 06:00,469,0
31.03.2018 06:00 - 31.03.2018 07:00,474,0
31.03.2018 07:00 - 31.03.2018 08:00,434,0
31.03.2018 08:00 - 31.03.2018 09:00,456,0
31.03.2018 09:00 - 31.03.2018 10:00,420,0
31.03.2018 10:00 - 31.03.2018 11:00,448,0
31.03.2018 11:00 - 31.03.2018 12:00,440,0
31.03.2018 12:00 - 31.03.2018 13:00,424,0
31.03.2018 13:00 - 31.03.2018 14:00,403,0
31.03.2018 14:00 - 31.03.2018 15:00,389,0
31.03.2018 15:00 - 31.03.2018 16:00,392,0
31.03.2018 16:00 - 31.03.2018 17:00,420,0
31.03.2018 17:00 - 31.03.2018 18:00,431,0
31.03.2018 18:00 - 31.03.2018 19:00,401,0
31.03.2018 19:00 - 31.03.2018 20:00,404,0
31.03.2018 20:00 - 31.03.2018 21:00,433,0
31.03.2018 21:00 - 31.03.2018 22:00,439,0
31.03.2018 22:00 - 31.03.2018 23:00,463,0
31.03.2018 23:00 - 01.04.2018 00:00,409,0
01.04.2018 00:00 - 01.04.2018 01:00,414,0
01.04.2018 01:00 - 01.04.2018 02:00,386,0
01.04.2018 02:00 - 01.04.2018 03:00,335,0
01.04.2018 03:00 - 01.04.2018 04:00,328,0
01.04.2018 04:00 - 01.04.2018 05:00,355,0
01.04.2018 05:00 - 01.04.2018 06:00,395,0
01.04.2018 06:00 - 01.04.2018 07:00,400,0
01.04.2018 07:00 - 01.04.2018 08:00,367,0
01.04.2018 08:00 - 01.04.2018 09:00,408,0
01.04.2018 09:00 - 01.04.2018 10:00,368,0
01.04.2018 10:00 - 01.04.2018 11:00,436,0
01.04.2018 11:00 - 01.04.2018 12:00,419,0
01.04.2018 12:00 - 01.04.2018 13:00,380,0
01.04.2018 13:00 - 01.04.2018 14:00,411,0
01.04.2018 14:00 - 01.04.2018 15:00,435,0
01.04.2018 15:00 - 01.04.2018 16:00,435,0
01.04.2018 16:00 - 01.04.2018 17:00,457,0
01.04.2018 17:00 - 01.04.2018 18:00,528,0
01.04.2018 18:00 - 01.04.2018 19:00,479,0
01.04.2018 19:00 - 01.04.2018 20:00,437,0
01.04.2018 20:00 - 01.04.2018 21:00,444,0
01.04.2018 21:00 - 01.04.2018 22:00,387,0
01.04.2018 22:00 - 01.04.2018 23:00,446,0
01.04.2018 23:00 - 02.04.2018 00:00,462,0
02.04.2018 00:00 - 02.04.2018 01:00,452,0
02.04.2018 01:00 - 02.04.2018 02:00,447,0
02.04.2018 02:00 - 02.04.2018 03:00,434,0
02.04.2018 03:00 - 02.04.2018 04:00,443,0
02.04.2018 04:00 - 02.04.2018 05:00,484,0
02.04.2018 05:00 - 02.04.2018 06:00,569,0
02.04.2018 06:00 - 02.04.2018 07:00,563,0
02.04.2018 07:00 - 02.04.2018 08:00,624,0
02.04.2018 08:00 - 02.04.2018 09:00,615,0
02.04.2018 09:00 - 02.04.2018 10:00,591,0
02.04.2018 10:00 - 02.04.2018 11:00,561,0
02.04.2018 11:00 - 02.04.2018 12:00,564,0
02.04.2018 12:00 - 02.04.2018 13:00,574,0
02.04.2018 13:00 - 02.04.2018 14:00,569,0
02.04.2018 14:00 - 02.04.2018 15:00,561,0
02.04.2018 15:00 - 02.04.2018 16:00,550,0
02.04.2018 16:00 - 02.04.2018 17:00,603,0
02.04.2018 17:00 - 02.04.2018 18:00,611,0
02.04.2018 18:00 - 02.04.2018 19:00,542,0
02.04.2018 19:00 - 02.04.2018 20:00,550,0
02.04.2018 20:00 - 02.04.2018 21:00,545,0
02.04.2018 21:00 - 02.04.2018 22:00,475,0
02.04.2018 22:00 - 02.04.2018 23:00,479,0
02.04.2018 23:00 - 03.04.2018 00:00,486,0
03.04.2018 00:00 - 03.04.2018 01:00,492,0
03.04.2018 01:00 - 03.04.2018 02:00,518,0
03.04.2018 02:00 - 03.04.2018 03:00,539,0
03.04.2018 03:00 - 03.04.2018 04:00,568,0
03.04.2018 04:00 - 03.04.2018 05:00,545,0
03.04.2018 05:00 - 03.04.2018 06:00,599,0
03.04.2018 06:00 - 03.04.2018 07:00,557,0
03.04.2018 07:00 - 03.04.2018 08:00,532,0
03.04.2018 08:00 - 03.04.2018 09:00,518,0
03.04.2018 09:00 - 03.04.2018 10:00,524,0
03.04.2018 10:00 - 03.04.2018 11:00,495,0
03.04.2018 11:00 - 03.04.2018 12:00,541,0
03.04.2018 12:00 - 03.04.2018 13:00,558,0
03.04.2018 13:00 - 03.04.2018 14:00,575,0
03.04.2018 14:00 - 03.04.2018 15:00,568,0
03.04.2018 15:00 - 03.04.2018 16:00,572,0
03.04.2018 16:00 - 03.04.2018 17:00,540,0
03.04.2018 17:00 - 03.04.2018 18:00,562,0
03.04.2018 18:00 - 03.04.2018 19:00,469,0
03.04.2018 19:00 - 03.04.2018 20:00,438,0
03.04.2018 20:00 - 03.04.2018 21:00,480,0
03.04.2018 21:00 - 03.04.2018 22:00,432,0
03.04.2018 22:00 - 03.04.2018 23:00,511,0
03.04.2018 23:00 - 04.04.2018 00:00,478,0
04.04.2018 00:00 - 04.04.2018 01:00,501,0
04.04.2018 01:00 - 04.04.2018 02:00,545,0
04.04.2018 02:00 - 04.04.2018 03:00,542,0
04.04.2018 03:00 - 04.04.2018 04:00,542,0
04.04.2018 04:00 - 04.04.2018 05:00,581,0
04.04.2018 05:00 - 04.04.2018 06:00,573,0
04.04.2018 06:00 - 04.04.2018 07:00,530,0
04.04.2018 07:00 - 04.04.2018 08:00,511,0
04.04.2018 08:00 - 04.04.2018 09:00,533,0
04.04.2018 09:00 - 04.04.2018 10:00,532,0
04.04.2018 10:00 - 04.04.2018 11:00,495,0
04.04.2018 11:00 - 04.04.2018 12:00,547,0
04.04.2018 12:00 - 04.04.2018 13:00,552,0
04.04.2018 13:00 - 04.04.2018 14:00,569,0
04.04.2018 14:00 - 04.04.2018 15:00,556,0
04.04.2018 15:00 - 04.04.2018 16:00,279,0
04.04.2018 16:00 - 04.04.2018 17:00,506,0
04.04.2018 17:00 - 04.04.2018 18:00,531,0
04.04.2018 18:00 - 04.04.2018 19:00,485,0
04.04.2018 19:00 - 04.04.2018 20:00,451,0
04.04.2018 20:00 - 04.04.2018 21:00,463,0
04.04.2018 21:00 - 04.04.2018 22:00,396,0
04.04.2018 22:00 - 04.04.2018 23:00,483,0
04.04.2018 23:00 - 05.04.2018 00:00,437,0
05.04.2018 00:00 - 05.04.2018 01:00,425,0
05.04.2018 01:00 - 05.04.2018 02:00,433,0
